regression,score,random_state,embedding,sample_size,pearson_train,pearson_test,spearman_train,spearman_test,RMSE_train,RMSE_test,SDR_train,SDR_test
ridge,solubility_score,0,nanobert,2000,0.86413,0.840906,0.863623,0.83482,0.153319,0.176665,0.851256,0.809484
ridge,zsurf_score,0,nanobert,2000,0.745128,0.713616,0.762557,0.734907,0.0750151,0.082267,0.703286,0.684412
ridge,solubility_score,0,nanobert,3000,0.859352,0.846391,0.854869,0.840829,0.157318,0.173822,0.850323,0.817419
ridge,zsurf_score,0,nanobert,3000,0.740163,0.717547,0.762269,0.742827,0.0751037,0.0817803,0.711228,0.690864
ridge,solubility_score,0,nanobert,4000,0.860449,0.854419,0.854936,0.850593,0.157034,0.169677,0.852947,0.817387
ridge,zsurf_score,0,nanobert,4000,0.740695,0.730226,0.758741,0.757989,0.0751098,0.0802408,0.713517,0.698511
ridge,solubility_score,0,nanobert,6000,0.862901,0.856783,0.856928,0.851715,0.158066,0.168117,0.857499,0.827401
ridge,zsurf_score,0,nanobert,6000,0.746735,0.737108,0.763216,0.76306,0.0745663,0.0793055,0.741197,0.721565
ridge,solubility_score,0,nanobert,8000,0.861,0.860678,0.854363,0.85699,0.159644,0.165986,0.857103,0.830049
ridge,zsurf_score,0,nanobert,8000,0.746466,0.742156,0.760223,0.767612,0.07479,0.0786709,0.741986,0.721189
ridge,solubility_score,0,vhse,20,0.970687,0.144956,0.968421,0.207863,0.149522,0.331353,0.410806,0.354388
ridge,zsurf_score,0,vhse,20,0.96343,0.113638,0.948872,0.176292,0.0658996,0.119196,0.419611,0.325209
ridge,solubility_score,0,vhse,50,0.924505,0.21978,0.942281,0.316038,0.17497,0.320796,0.462613,0.302838
ridge,zsurf_score,0,vhse,50,0.916586,0.261588,0.942089,0.312063,0.0712721,0.113777,0.437278,0.277018
ridge,solubility_score,0,vhse,100,0.964047,0.450491,0.964536,0.43565,0.105966,0.292972,0.735154,0.416208
ridge,zsurf_score,0,vhse,100,0.926584,0.359557,0.944218,0.402455,0.0546078,0.110677,0.570342,0.323308
ridge,solubility_score,0,vhse,200,0.983713,0.543142,0.980447,0.541424,0.0617897,0.275488,0.88306,0.654523
ridge,zsurf_score,0,vhse,200,0.89937,0.418774,0.90267,0.468219,0.063776,0.107202,0.528875,0.37581
ridge,solubility_score,0,vhse,500,0.969349,0.748191,0.966868,0.740991,0.077305,0.217233,0.880979,0.74934
ridge,zsurf_score,0,vhse,500,0.901107,0.537146,0.905003,0.569434,0.0563942,0.0994094,0.671085,0.570878
ridge,solubility_score,0,vhse,638,0.957209,0.753826,0.952063,0.749271,0.0949511,0.215426,0.833908,0.710053
ridge,zsurf_score,0,vhse,638,0.876264,0.576789,0.877391,0.606094,0.061893,0.0962966,0.630581,0.545184
ridge,solubility_score,0,vhse,650,0.951146,0.748737,0.946698,0.744754,0.105542,0.21783,0.791289,0.675073
ridge,zsurf_score,0,vhse,650,0.876548,0.58134,0.878829,0.608157,0.0618011,0.0959572,0.62727,0.542192
ridge,solubility_score,0,vhse,800,0.917895,0.74775,0.916732,0.742549,0.152281,0.2272,0.619093,0.5353
ridge,zsurf_score,0,vhse,800,0.863084,0.624241,0.869736,0.641859,0.0650014,0.0921202,0.622724,0.563138
ridge,solubility_score,0,vhse,1000,0.957641,0.796264,0.955783,0.792659,0.0915112,0.197663,0.897555,0.851589
ridge,zsurf_score,0,vhse,1000,0.869094,0.64407,0.875071,0.660184,0.0605773,0.0899027,0.679169,0.631745
ridge,solubility_score,0,vhse,1500,0.936507,0.836072,0.932931,0.834606,0.11073,0.179191,0.855126,0.801783
ridge,zsurf_score,0,vhse,1500,0.8548,0.691252,0.86128,0.712112,0.0616944,0.0849486,0.700393,0.65419
ridge,solubility_score,0,vhse,2000,0.927986,0.860406,0.923143,0.853334,0.11527,0.166633,0.861517,0.818601
ridge,zsurf_score,0,vhse,2000,0.839218,0.711737,0.846562,0.734035,0.062781,0.0826446,0.708642,0.669474
ridge,solubility_score,0,vhse,3000,0.924307,0.874066,0.918,0.867168,0.118414,0.158477,0.873772,0.84491
ridge,zsurf_score,0,vhse,3000,0.822723,0.728576,0.833253,0.750134,0.0648528,0.0808054,0.701687,0.658545
ridge,solubility_score,0,vhse,4000,0.922725,0.885779,0.915573,0.880531,0.118844,0.151188,0.91031,0.884703
ridge,zsurf_score,0,vhse,4000,0.818336,0.743954,0.825616,0.766286,0.0648585,0.0785177,0.735915,0.708279
ridge,solubility_score,0,vhse,6000,0.916241,0.89034,0.912493,0.884039,0.1254,0.148251,0.899984,0.892009
ridge,zsurf_score,0,vhse,6000,0.807955,0.762731,0.821324,0.790946,0.0664224,0.0759962,0.745928,0.728601
ridge,solubility_score,0,vhse,8000,0.91378,0.894444,0.909818,0.887277,0.127572,0.145598,0.900112,0.890038
ridge,zsurf_score,0,vhse,8000,0.802546,0.77422,0.816969,0.798897,0.0672868,0.0744165,0.752568,0.735004
ridge,solubility_score,0,nanobuilder,20,0.770689,0.072046,0.62406,0.0718329,0.190932,0.330789,0.324265,0.238129
ridge,zsurf_score,0,nanobuilder,20,0.765663,-0.0777064,0.645113,-0.0622688,0.0916051,0.121298,0.221198,0.192072
ridge,solubility_score,0,nanobuilder,50,0.594865,0.116108,0.574934,0.12298,0.269802,0.323747,0.140327,0.128238
ridge,zsurf_score,0,nanobuilder,50,0.821012,0.0564475,0.819544,0.068613,0.0709787,0.136751,0.575112,0.655003
ridge,solubility_score,0,nanobuilder,100,0.487921,0.172679,0.477288,0.176526,0.286187,0.322766,0.120122,0.104532
ridge,zsurf_score,0,nanobuilder,100,0.496289,0.188137,0.498614,0.213839,0.0981978,0.116159,0.158568,0.135536
ridge,solubility_score,0,nanobuilder,200,0.532734,0.17909,0.497313,0.172228,0.262626,0.321583,0.308007,0.274354
ridge,zsurf_score,0,nanobuilder,200,0.435329,0.216079,0.427368,0.235104,0.103883,0.114828,0.188677,0.183574
ridge,solubility_score,0,nanobuilder,500,0.431461,0.258503,0.440463,0.24618,0.270689,0.314774,0.283097,0.252357
ridge,zsurf_score,0,nanobuilder,500,0.450289,0.219489,0.42518,0.246638,0.103333,0.115387,0.342446,0.338399
ridge,solubility_score,0,nanobuilder,638,0.424951,0.281759,0.428628,0.269205,0.275339,0.312742,0.312354,0.292018
ridge,zsurf_score,0,nanobuilder,638,0.436062,0.243009,0.423586,0.275866,0.10381,0.114402,0.321775,0.322663
ridge,solubility_score,0,nanobuilder,650,0.419082,0.280156,0.419742,0.267485,0.278501,0.312727,0.287533,0.268449
ridge,zsurf_score,0,nanobuilder,650,0.434324,0.244641,0.422652,0.278207,0.103517,0.114315,0.320547,0.320939
ridge,solubility_score,0,nanobuilder,800,0.420314,0.300793,0.41033,0.289527,0.28019,0.310496,0.310686,0.289695
ridge,zsurf_score,0,nanobuilder,800,0.393697,0.251584,0.392461,0.283148,0.107448,0.113744,0.294389,0.296544
ridge,solubility_score,0,nanobuilder,1000,0.420313,0.298606,0.409479,0.290224,0.284053,0.310644,0.318246,0.304231
ridge,zsurf_score,0,nanobuilder,1000,0.378824,0.258245,0.379008,0.288549,0.106291,0.113454,0.290185,0.293669
ridge,solubility_score,0,nanobuilder,1500,0.410474,0.313671,0.390001,0.307911,0.28111,0.309321,0.350292,0.325924
ridge,zsurf_score,0,nanobuilder,1500,0.357787,0.266423,0.34674,0.293953,0.10677,0.113103,0.280099,0.282995
ridge,solubility_score,0,nanobuilder,2000,0.402097,0.336291,0.391029,0.334953,0.279015,0.306828,0.369892,0.337715
ridge,zsurf_score,0,nanobuilder,2000,0.322226,0.270665,0.318232,0.301725,0.106571,0.112973,0.251057,0.250822
ridge,solubility_score,0,nanobuilder,3000,0.37157,0.367153,0.370387,0.370728,0.285843,0.303649,0.330341,0.299583
ridge,zsurf_score,0,nanobuilder,3000,0.307968,0.286655,0.309233,0.313296,0.106319,0.112477,0.25652,0.253362
ridge,solubility_score,0,nanobuilder,4000,0.365026,0.372377,0.361882,0.376573,0.287117,0.303005,0.328203,0.303009
ridge,zsurf_score,0,nanobuilder,4000,0.304603,0.302163,0.317824,0.328619,0.106493,0.111948,0.264208,0.262622
ridge,solubility_score,0,nanobuilder,6000,0.360219,0.380172,0.358361,0.384898,0.291809,0.301789,0.342423,0.315472
ridge,zsurf_score,0,nanobuilder,6000,0.312074,0.308897,0.332393,0.335383,0.106532,0.111642,0.291381,0.282481
ridge,solubility_score,0,nanobuilder,8000,0.362787,0.384155,0.357431,0.394872,0.292527,0.301068,0.348552,0.330258
ridge,zsurf_score,0,nanobuilder,8000,0.313726,0.317805,0.324064,0.342093,0.106767,0.111352,0.284803,0.278548
ridge,solubility_score,0,ablang,20,0.923109,0.131399,0.846617,0.0880437,0.137973,0.328877,0.512952,0.268577
ridge,zsurf_score,0,ablang,20,0.906435,0.253443,0.908271,0.252018,0.070912,0.113736,0.409238,0.264046
ridge,solubility_score,0,ablang,50,0.888927,0.438332,0.880624,0.410771,0.192063,0.29709,0.417419,0.286468
ridge,zsurf_score,0,ablang,50,0.95753,0.443483,0.948908,0.460472,0.0408347,0.10634,0.745974,0.576308
ridge,solubility_score,0,ablang,100,0.935131,0.683109,0.929049,0.659108,0.124338,0.242143,0.725785,0.562878
ridge,zsurf_score,0,ablang,100,0.974538,0.51279,0.972793,0.527474,0.0259775,0.102936,0.872301,0.661943
ridge,solubility_score,0,ablang,200,0.922305,0.762045,0.922406,0.748558,0.124535,0.214997,0.770501,0.654301
ridge,zsurf_score,0,ablang,200,0.814976,0.551313,0.817039,0.569153,0.0712814,0.0986214,0.542159,0.482141
ridge,solubility_score,0,ablang,500,0.925155,0.793501,0.917927,0.784593,0.114864,0.198844,0.845035,0.759867
ridge,zsurf_score,0,ablang,500,0.796702,0.612308,0.812205,0.612395,0.0733834,0.0930967,0.590127,0.551703
ridge,solubility_score,0,ablang,638,0.915397,0.807676,0.906779,0.801951,0.123325,0.192632,0.845508,0.762279
ridge,zsurf_score,0,ablang,638,0.808578,0.630149,0.807772,0.627135,0.069966,0.0912379,0.642427,0.600946
ridge,solubility_score,0,ablang,650,0.901465,0.808542,0.893727,0.802864,0.134424,0.193166,0.808064,0.733099
ridge,zsurf_score,0,ablang,650,0.810042,0.63303,0.811508,0.629936,0.0695195,0.0909728,0.642885,0.60232
ridge,solubility_score,0,ablang,800,0.902328,0.815726,0.890694,0.811087,0.134494,0.189559,0.820655,0.751788
ridge,zsurf_score,0,ablang,800,0.807234,0.652824,0.798293,0.649154,0.0707276,0.0889626,0.658789,0.640719
ridge,solubility_score,0,ablang,1000,0.911299,0.82457,0.903436,0.818831,0.129312,0.18444,0.854249,0.792252
ridge,zsurf_score,0,ablang,1000,0.811481,0.665431,0.805181,0.664371,0.0680449,0.0876201,0.698645,0.664304
ridge,solubility_score,0,ablang,1500,0.904199,0.844739,0.89691,0.841505,0.132124,0.175026,0.8588,0.795035
ridge,zsurf_score,0,ablang,1500,0.786476,0.688899,0.779786,0.696637,0.0714827,0.0852198,0.676452,0.642791
ridge,solubility_score,0,ablang,2000,0.902935,0.849458,0.896634,0.848572,0.131413,0.172674,0.864372,0.799914
ridge,zsurf_score,0,ablang,2000,0.778506,0.698649,0.774126,0.70795,0.0712369,0.0841504,0.684918,0.648355
ridge,solubility_score,0,ablang,3000,0.895028,0.856412,0.887606,0.854715,0.137466,0.168468,0.866455,0.819778
ridge,zsurf_score,0,ablang,3000,0.782722,0.716448,0.782997,0.718469,0.0698135,0.0819451,0.718845,0.682829
ridge,solubility_score,0,ablang,4000,0.89294,0.861573,0.886092,0.860375,0.13892,0.165554,0.869081,0.827192
ridge,zsurf_score,0,ablang,4000,0.778159,0.721743,0.774901,0.727594,0.0704375,0.081272,0.722103,0.693788
ridge,solubility_score,0,ablang,6000,0.889513,0.863421,0.883089,0.861603,0.143013,0.164298,0.871339,0.840417
ridge,zsurf_score,0,ablang,6000,0.77457,0.730991,0.774183,0.733848,0.0710695,0.0801166,0.731513,0.705403
ridge,solubility_score,0,ablang,8000,0.886386,0.870382,0.879848,0.868641,0.145384,0.160541,0.871466,0.837871
ridge,zsurf_score,0,ablang,8000,0.76954,0.74067,0.766004,0.743286,0.0718898,0.0789575,0.733143,0.703178
